"Voltage_x"	"Voltage_y"
43.833	393.4	
43.917	393.7	
44	393.9	
44.083	394.1	
44.167	394.3	
44.25	394.5	
44.333	394.7	
44.417	394.9	
44.5	395	
44.583	395.2	
44.667	395.4	
44.75	395.5	
44.833	395.7	
44.917	395.8	
45	396	
45.083	396.1	
45.167	396.3	
45.25	396.4	
45.333	396.5	
45.417	396.6	
45.5	396.7	
45.583	396.8	
45.667	396.8	
45.75	396.9	
45.833	397	
45.917	397	
46	397	
46.083	397	
46.167	396.8	
46.25	396.8	
46.333	396.7	
46.417	396.7	
46.5	396.5	
46.583	396.4	
46.667	396.3	
46.75	396.2	
46.833	396	
46.917	395.9	
47	395.7	
47.083	395.5	
47.167	395.4	
47.25	395.1	
47.333	394.9	
47.417	394.7	
47.5	394.4	
47.583	394.2	
47.667	394	
47.75	393.8	
47.833	393.5	
47.917	393.3	
48	393.1	
48.083	392.9	
48.167	392.8	
48.25	392.7	
48.333	392.7	
48.417	392.4	
48.5	392.1	
48.583	392.4	
48.667	393.4	
48.75	392	
48.833	392.2	
48.917	392.4	
49	392.5	
49.083	392.1	
49.167	392.2	
49.25	392.3	
49.333	392.3	
49.417	393.3	
49.5	391.8	
49.583	391.9	
49.667	392	
49.75	391.7	
49.833	391.6	
49.917	391.4	
50	391.3	
50.083	391.1	
50.167	391	
50.25	391	
50.333	391.1	
50.417	391.2	
50.5	391.4	
50.583	391.6	
50.667	391.8	
50.75	392	
50.833	392.2	
50.917	392.4	
51	392.5	
51.083	392.7	
51.167	392.9	
51.25	393	
51.333	393.1	
51.417	393.2	
51.5	393.3	
51.583	393.4	
51.667	393.5	
51.75	393.5	
51.833	393.6	
51.917	393.7	
52	393.8	
52.083	393.8	
52.167	393.9	
52.25	393.9	
52.333	394	
52.417	394.1	
52.5	394.1	
52.583	394.1	
52.667	394.1	
52.75	394.1	
52.833	394.1	
52.917	394.2	
53	394.1	
53.083	394.1	
53.167	394	
53.25	394	
53.333	393.9	
53.417	393.9	
53.5	393.8	
53.583	393.7	
53.667	393.7	
53.75	393.6	
53.833	393.5	
53.917	393.4	
54	393.3	
54.083	393.3	
54.167	393.5	
54.25	393.3	
54.333	393.3	
54.417	393.4	
54.5	393.2	
54.583	392.9	
54.667	393.1	
54.75	392.9	
54.833	392.9	
54.917	392.8	
55	392.6	
55.083	392.4	
55.167	392.4	
55.25	392.4	
55.333	392.1	
55.417	392.2	
55.5	392.1	
55.583	391.9	
55.667	391.6	
55.75	391.7	
55.833	391.8	
55.917	391.8	
56	391.6	
56.083	391.5	
56.167	391.5	
56.25	391.4	
56.333	391.3	
56.417	390.8	
56.5	390.9	
56.583	390.8	
56.667	391.9	
56.75	391.1	
56.833	391	
56.917	391	
57	390.9	
57.083	390.7	
57.167	390.5	
57.25	390.2	
57.333	390.9	
57.417	390.1	
57.5	390.1	
57.583	390.3	
57.667	390.1	
57.75	389.5	
57.833	389.6	
57.917	389.8	
58	389.1	
58.083	389	
58.167	388.7	
58.25	389.1	
58.333	388.4	
58.417	388.4	
58.5	388	
58.583	388.4	
58.667	387.8	
58.75	387.6	
58.833	387.4	
58.917	387.3	
59	387.3	
59.083	386.9	
59.167	386.8	
59.25	386.5	
59.333	386.2	
59.417	386.2	
59.5	386	
59.583	385.8	
59.667	385.6	
59.75	385.4	
59.833	385.1	
59.917	384.9	
60	384.8	
60.083	384.6	
60.167	384.4	
60.25	384.2	
60.333	384	
60.417	383.8	
60.5	383.6	
60.583	383.4	
60.667	383.2	
60.75	383	
60.833	381.6	
60.917	360.1	
61	1.2	
61.083	1.2	
61.167	1.2	
61.25	1.2	
61.333	1.2	
61.417	1.2	
61.5	1.2	
61.583	1.2	
61.667	1.2	
61.75	1.2	
61.833	1.2	
61.917	1.2	
62	1.2	
62.083	1.2	
62.167	1.2	
62.25	1.2	
62.333	1.2	
62.417	1.2	
62.5	1.2	
62.583	1.2	
62.667	1.2	
62.75	1.2	
62.833	1.2	
62.917	1.2	
63	1.2	
63.083	1.2	
63.167	1.2	
63.25	1.2	
63.333	1.2	
63.417	1.2	
63.5	1.1	
63.583	1.1	
63.667	1.2	
