"Voltage_x"	"Voltage_y"
40.333	398.5	
40.417	398.4	
40.5	398.4	
40.583	398.3	
40.667	398.2	
40.75	398.1	
40.833	398	
40.917	397.9	
41	397.8	
41.083	397.7	
41.167	397.7	
41.25	397.6	
41.333	397.5	
41.417	397.4	
41.5	397.3	
41.583	397.3	
41.667	397.1	
41.75	397.1	
41.833	397	
41.917	396.9	
42	396.8	
42.083	396.8	
42.167	396.7	
42.25	396.6	
42.333	396.5	
42.417	396.4	
42.5	396.4	
42.583	396.3	
42.667	396.2	
42.75	396.1	
42.833	396.1	
42.917	396	
43	395.9	
43.083	395.8	
43.167	395.7	
43.25	395.6	
43.333	395.5	
43.417	395.5	
43.5	395.4	
43.583	395.3	
43.667	395.2	
43.75	395.2	
43.833	395.1	
43.917	395	
44	394.9	
44.083	394.8	
44.167	394.8	
44.25	394.7	
44.333	394.6	
44.417	394.5	
44.5	394.5	
44.583	394.4	
44.667	394.3	
44.75	394.3	
44.833	394.2	
44.917	394.1	
45	394	
45.083	393.9	
45.167	393.9	
45.25	393.8	
45.333	393.7	
45.417	393.6	
45.5	393.6	
45.583	393.5	
45.667	393.4	
45.75	393.3	
45.833	393.2	
45.917	393.2	
46	393.1	
46.083	393	
46.167	392.9	
46.25	392.9	
46.333	392.8	
46.417	392.7	
46.5	392.7	
46.583	392.6	
46.667	392.5	
46.75	392.4	
46.833	392.4	
46.917	392.3	
47	392.2	
47.083	392.1	
47.167	392.1	
47.25	392	
47.333	391.9	
47.417	391.8	
47.5	391.8	
47.583	391.7	
47.667	391.6	
47.75	391.6	
47.833	391.5	
47.917	391.4	
48	391.3	
48.083	391.3	
48.167	391.2	
48.25	391.1	
48.333	391	
48.417	391	
48.5	390.9	
48.583	390.8	
48.667	390.8	
48.75	390.7	
48.833	390.6	
48.917	390.5	
49	390.5	
49.083	390.4	
49.167	390.3	
49.25	390.2	
49.333	390.2	
49.417	390.1	
49.5	390	
49.583	389.9	
49.667	389.8	
49.75	389.8	
49.833	389.7	
49.917	389.6	
50	389.5	
50.083	389.4	
50.167	389.4	
50.25	389.3	
50.333	389.2	
50.417	389.1	
50.5	389	
50.583	388.9	
50.667	388.8	
50.75	388.7	
50.833	388.7	
50.917	388.6	
51	388.5	
51.083	388.4	
51.167	388.3	
51.25	388.2	
51.333	388.1	
51.417	388	
51.5	387.9	
51.583	387.8	
51.667	387.7	
51.75	387.6	
51.833	387.5	
51.917	387.4	
52	387.3	
52.083	387.2	
52.167	387.1	
52.25	387	
52.333	386.9	
52.417	386.8	
52.5	386.7	
52.583	386.5	
52.667	386.4	
52.75	386.3	
52.833	386.2	
52.917	386.1	
53	385.9	
53.083	385.8	
53.167	385.7	
53.25	385.5	
53.333	385.4	
53.417	385.3	
53.5	385.1	
53.583	385	
53.667	384.9	
53.75	384.7	
53.833	384.6	
53.917	384.4	
54	384.2	
54.083	384.1	
54.167	383.9	
54.25	383.8	
54.333	383.6	
54.417	383.5	
54.5	383.3	
54.583	383.1	
54.667	383	
54.75	382.8	
54.833	382.7	
54.917	382.5	
55	382.4	
55.083	382.2	
55.167	382.1	
55.25	381.9	
55.333	381.8	
55.417	381.7	
55.5	381.5	
55.583	381.4	
55.667	381.3	
55.75	381.2	
55.833	381.1	
55.917	381	
56	380.8	
56.083	380.8	
56.167	380.7	
56.25	380.6	
56.333	380.5	
56.417	380.4	
56.5	380.4	
56.583	380.3	
56.667	380.2	
56.75	380.2	
56.833	380.1	
56.917	380.1	
57	380	
57.083	379.9	
57.167	379.9	
57.25	379.8	
57.333	379.8	
57.417	379.7	
57.5	379.7	
57.583	379.6	
57.667	379.6	
57.75	379.6	
57.833	379.5	
57.917	379.5	
58	379.5	
58.083	379.4	
58.167	379.4	
58.25	379.4	
58.333	379.3	
58.417	379.3	
58.5	379.2	
58.583	379.2	
58.667	379.2	
58.75	379.1	
58.833	379.1	
58.917	379.1	
59	379	
59.083	379	
59.167	379	
59.25	379	
59.333	378.9	
59.417	378.9	
59.5	378.9	
59.583	378.8	
59.667	378.8	
59.75	378.8	
59.833	378.8	
59.917	378.7	
60	378.7	
60.083	378.7	
60.167	378.7	
60.25	378.7	
60.333	378.6	
60.417	378.6	
60.5	378.6	
60.583	378.6	
60.667	378.6	
60.75	378.6	
60.833	378.6	
60.917	378.5	
61	378.5	
61.083	378.5	
61.167	378.5	
61.25	378.5	
61.333	369.7	
61.417	1.2	
61.5	1.2	
61.583	1.2	
61.667	1.2	
61.75	1.2	
61.833	1.2	
61.917	1.2	
62	1.2	
62.083	1.2	
62.167	1.2	
62.25	1.2	
62.333	1.2	
62.417	1.2	
62.5	1.2	
62.583	1.2	
62.667	1.2	
