"Voltage_x"	"Voltage_y"
45.167	392.9	
45.25	393	
45.333	393	
45.417	393.1	
45.5	393.1	
45.583	393.2	
45.667	393.2	
45.75	393.2	
45.833	393.3	
45.917	393.3	
46	393.3	
46.083	393.3	
46.167	393.4	
46.25	393.4	
46.333	393.4	
46.417	393.4	
46.5	393.4	
46.583	393.4	
46.667	393.4	
46.75	393.4	
46.833	393.4	
46.917	393.4	
47	393.4	
47.083	393.4	
47.167	393.4	
47.25	393.4	
47.333	393.4	
47.417	393.4	
47.5	393.4	
47.583	393.4	
47.667	393.4	
47.75	393.3	
47.833	393.3	
47.917	393.3	
48	393.3	
48.083	393.2	
48.167	393.2	
48.25	393.2	
48.333	393.2	
48.417	393.2	
48.5	393.2	
48.583	393.1	
48.667	393.1	
48.75	393.1	
48.833	393.1	
48.917	393.1	
49	393.1	
49.083	393	
49.167	393	
49.25	393	
49.333	393	
49.417	392.9	
49.5	392.9	
49.583	392.9	
49.667	392.9	
49.75	392.9	
49.833	392.9	
49.917	392.8	
50	392.8	
50.083	392.8	
50.167	392.8	
50.25	392.8	
50.333	392.7	
50.417	392.7	
50.5	392.7	
50.583	392.7	
50.667	392.6	
50.75	392.6	
50.833	392.6	
50.917	392.6	
51	392.5	
51.083	392.5	
51.167	392.5	
51.25	392.4	
51.333	392.4	
51.417	392.4	
51.5	392.4	
51.583	392.4	
51.667	392.3	
51.75	392.3	
51.833	392.3	
51.917	392.3	
52	392.3	
52.083	392.2	
52.167	392.2	
52.25	392.2	
52.333	392.2	
52.417	392.2	
52.5	392.2	
52.583	392.1	
52.667	392.1	
52.75	392.1	
52.833	392.1	
52.917	392.1	
53	392	
53.083	392	
53.167	392	
53.25	392	
53.333	391.9	
53.417	391.9	
53.5	391.9	
53.583	391.9	
53.667	391.9	
53.75	391.9	
53.833	391.8	
53.917	391.8	
54	391.8	
54.083	391.8	
54.167	391.8	
54.25	391.7	
54.333	391.7	
54.417	391.7	
54.5	391.7	
54.583	391.7	
54.667	391.7	
54.75	391.6	
54.833	391.6	
54.917	391.6	
55	391.6	
55.083	391.7	
55.167	391.6	
55.25	391.6	
55.333	391.6	
55.417	391.6	
55.5	391.5	
55.583	391.5	
55.667	391.5	
55.75	391.5	
55.833	391.5	
55.917	391.5	
56	391.4	
56.083	391.4	
56.167	391.4	
56.25	391.4	
56.333	391.4	
56.417	391.4	
56.5	391.4	
56.583	391.4	
56.667	391.4	
56.75	391.3	
56.833	391.4	
56.917	391.3	
57	391.3	
57.083	391.3	
57.167	391.3	
57.25	391.3	
57.333	391.3	
57.417	391.3	
57.5	391.3	
57.583	391.3	
57.667	391.4	
57.75	391.5	
57.833	391.4	
57.917	391.3	
58	391.3	
58.083	391.3	
58.167	391.2	
58.25	391.2	
58.333	391.2	
58.417	391.2	
58.5	391.2	
58.583	391.2	
58.667	391.2	
58.75	391.2	
58.833	391.1	
58.917	391.2	
59	391.2	
59.083	391.2	
59.167	391.2	
59.25	391.2	
59.333	391.2	
59.417	391.1	
59.5	391.1	
59.583	391.1	
59.667	391.1	
59.75	391.1	
59.833	391.1	
59.917	391.1	
60	391.1	
60.083	391.1	
60.167	391.1	
60.25	391.1	
60.333	391	
60.417	391	
60.5	350.7	
60.583	1.2	
60.667	1.2	
60.75	1.2	
60.833	1.2	
60.917	1.2	
61	1.2	
61.083	1.2	
61.167	1.2	
61.25	1.2	
61.333	1.2	
61.417	1.2	
61.5	1.2	
61.583	1.2	
61.667	1.2	
61.75	1.2	
61.833	1.2	
61.917	1.2	
62	1.2	
62.083	1.2	
62.167	1.2	
62.25	1.2	
62.333	1.2	
